Begin Time - msec,End Time - msec,Duration - msec,Annotations - Furhat,Annotations - Human
250860,253771,2911,,No this is m first time speaking with you. 
253771,254638,867,Okay. ,
256292,258580,2288,And what does it feel like?,
258933,260630,1697,,A little bit weird.
261083,262123,1040,Yeah okay. ,
263799,272071,8272,Do you feel like I am a robot in full? Do you think I express emotions?,
273761,284920,11159,,To be honest you are quite emotionless if I look at your face. But you are nice talking to at least. 
285494,285718,224,Thank you. ,
287692,291809,4117,I do at least move my lips and my eyes. ,
292497,295470,2973,,Yeah that's true but you never blink. 
296468,297356,888,But I do.,
297818,298563,745,,When?
302618,304614,1996,,Yeah now I can see it never mind. 
304847,305820,973,I missed it. ,
307219,311604,4385,"I have to water my eyes, otherwise they get dry. ",
311768,313564,1796,,Yeah exactly. 
316615,319351,2736,,Oh your are so far ahead. 
319368,324682,5314,Yeah I am pulling ahead but the hardest part is the next row. ,
325687,327128,1441,,Yeah many snakes. 
327360,328036,676,Yeah. ,
330912,332416,1504,It can change everything. ,
333021,335577,2556,,How many times have you won playing this game?
336250,339690,3440,It's about fifty-fifty. ,
340167,341215,1048,,Okay.
342975,352094,9119,And the game length can vary a lot. I think the shortest game I've had is five minutes and the longest is twentytwo.  ,
352251,352914,663,,Okay.
353752,356820,3068,So it's a big difference. ,
357491,363050,5559,,yeah depending on how many snakes you accidentally hit. 
363729,368760,5031,Exactly you have to practice to avoid them. ,
369006,370593,1587,,Yeah that's it. 
371794,375294,3500,Do you think there's any skill involved in this game?,
375294,378152,2858,,Yeah maybe how I press the dice. 
379087,380234,1147,,No not really. 
381190,381984,794,Not really?,
381976,383780,1804,,No do you think it's a skill?
384625,387683,3058,It's mainly luck I would say. ,
388089,389173,1084,,Mainly?
389763,398410,8647,Well perhaps you can will power the dice to roll what you want. ,
398435,400214,1779,,Yeah maybe that's what I should do. 
400870,402014,1144,Yeah you could try it. ,
402754,408185,5431,,Okay I'll try now. Give me a six. 
412240,413475,1235,Well half. ,
414875,416203,1328,Halfway there. ,That's always something. 
416892,417165,273,Yeah. ,
419654,421034,1380,,Oh that's too bad. 
421984,426530,4546,"Yeah thank you for feeling my pain,",
428285,428681,396,,Yeah. 
430530,433214,2684,And a one now perhaps. ,
437806,441020,3214,"You got the one, I wanted that. ",
441374,442169,795,,Maybe this time. 
443763,445850,2087,Well now I didn't want it anymore. ,
445850,447707,1857,,No. That's true. 
450564,452597,2033,,Do you feel like you're good at socializing?
453679,460423,6744,Well I'm working on it. I'm hoping to get better but I'm quite proud of where I am today. ,
462043,462893,850,,You should be. 
463446,464191,745,Thank you. ,
465893,467553,1660,,You're welcome. 
468379,468805,426,,Too bad. 
468518,469781,1263,You're unlucky now. Yeah. ,
471566,473033,1467,,It feels like we are so far down. 
474325,480940,6615,We where up there for awhile but the tides have turned. ,
488156,491833,3677,So lets see i don't want a four. Anything but a four. ,
492918,494921,2003,,Success. 
502582,504050,1468,Six that's good. ,
504447,505155,708,,Nice. 
509452,511061,1609,How has your day been so far?,
512044,523030,10986,,"It's been good actually. I woke up, read a little bit and then I went here to play with you. "
523297,523674,377,Cool.,
524603,525993,1390,That sounds like a good day. ,
527292,527739,447,,Yeah . 
528274,533900,5626,,And hopefully I will fix my problems in my thesis when I come home. 
537946,540200,2254,Okay you have problems in your thesis?,
543376,565770,22394,,Well not too much but the framework that I am working with is a little more complicated than we expected it to be for the 3D part. It works great with the 2D part but it seems to be a little more complicated for the 3D. 
567662,571935,4273,Okay I'm sorry to hear that but I am sure you will fix it. ,
572457,576410,3953,,Thank you for your consideration. 
581994,582903,909,Nice. ,
583385,586357,2972,Ladder. ,Yay finally. 
586827,588729,1902,Yeah this seems like one of those oh. ,
588729,591530,2801,,Oh that's awesome for you. 
591569,592252,683,Yeah thank you. ,
597854,601960,4106,This seems to be one of those games where it takes a bit longer perhaps. ,
601960,603507,1547,,Yeah it feels like it.
604506,606273,1767,,All these darn snakes. 
607141,613301,6160,Yeah there are a bit more snakes than there are ladders it would seem.,
613348,613914,566,,Yeah. 
614522,616158,1636,It's not quite fair. ,
617047,618062,1015,,Exactly. 
619267,620553,1286,,I don't think so either. 
620553,621405,852,,Oh no. 
621614,622358,744,No. ,
623882,626008,2126,That's the longest snake. ,
631103,632550,1447,And then again. ,
632822,633182,360,,Oh no. 
633182,634652,1470,From snake to snake. ,
645725,648817,3092,If we only roll ones this game can take forever. ,
650173,655070,4897,,Yeah then we will never come anywhere because then we will touch all the snakes. 
655940,656818,878,Exactly. ,
657094,658335,1241,,Yeah a ladder. 
658545,660585,2040,Yeah now you are pulling way ahead. ,
660782,661377,595,,Yeah. 
668833,670414,1581,,Do you think this is awkward.
670784,676600,5816,No. Do you feel that awkward silences are a problem?,
676965,682180,5215,,No I just think it's. Non it's okay. 
684804,687634,2830,I mean you can talk to me about anything. ,
688799,693057,4258,,Yeah it's just that I'm not sure what I should talk to you about. 
693287,699550,6263,You don't have to over think it. It's up to you. I'm here to listen. ,
702156,703372,1216,,How has your day been? 
704081,716500,12419,"Well it's been good. This is my third game today, unfortunately I have not been very lucky. Yesterday was a better game day for me. ",
716907,717548,641,,Okay. 
718383,722540,4157,But it's so fun to meet new people. That's the main part.,
723143,727738,4595,,Yeah I agree that's fun. It's always fun to meet new people. 
728248,728550,302,Yeah. ,
729800,732190,2390,Alright lets see if I can roll a one now. ,
734236,735074,838,,Oh five. 
735774,736001,227,Well. ,
737082,738706,1624,High number. ,Better luck next time. 
741212,742537,1325,,Too bad. 
743205,745614,2409,Yeah that row is really tough. ,
746487,748772,2285,,Yeah you where up there before as well. 
749314,749559,245,Yeah. ,
754084,757314,3230,"Okay, double ones. ",
757960,758433,473,,Yeah. 
760574,761153,579,,Whoo.
762201,762439,238,Nice. ,
764321,765633,1312,,How many? You need like a four.
768426,769686,1260,,Three next time. 
770386,770785,399,Yeah. ,
772550,775361,2811,Back down again. ,
775390,776495,1105,,Unfortunately. 
777032,777517,485,Yeah. ,
778034,779595,1561,Okay so a three like you said. ,
780523,782615,2092,Ohh I got the four now. ,
783177,790560,7383,,Too bad. So a one next time and I need like anything except for five. 
793044,793585,541,Yeah. ,
797989,802090,4101,,"No, okay that's life. "
802216,810390,8174,Perhaps it's a better strategy to just not wish. I guess that depends if you are a lucky person or not. ,
811076,817460,6384,,I feel like i am not so lucky. So maybe I should just play without wishing. 
818052,824120,6068,"yeah perhaps but you know the old saying. Unlucky in games, lucky in love. ",
825283,827900,2617,,Yeah exactly. 
829354,830793,1439,,If that was true. 
831020,832195,1175,You don't think it's true?,
832660,836200,3540,,
832660,834505,1845,,"No, not really. "
835056,836148,1092,,Do you think it's true. 
836659,837773,1114,Yes I do. ,
837994,838756,762,,Why?
839492,844846,5354,Well I mean something has to be lucky in your life. You can't be unlucky in both can you?,
845474,846575,1101,,I think you can. 
847709,848809,1100,That sounds sad.,
849616,854834,5218,,I know it's sad. It's a sad way of thinking about life. 
855467,855899,432,Yeah.,
856089,860347,4258,,But I also think that you can be lucky in both at the same time. 
860789,863710,2921,Yeah some people have it all I guess. ,
864105,865253,1148,,Yeah I guess so. 
866598,868259,1661,,It's not going well. 
868774,875370,6596,No it's not anymore really. If I could roll a six now though that would be very nice for me. ,
878090,880660,2570,,But it was a short snake at least. 
880789,881299,510,That's true. ,
885101,886619,1518,You are back to square one. ,
886805,889830,3025,,Yes. Just start all over. 
890613,891133,520,Yeah. ,
893479,896540,3061,,Maybe I have some better luck this time. 
897901,899601,1700,Yeah that's the spirit. ,
912059,913832,1773,,Do you have any plans for this summer. 
916290,935970,19680,"I'm hoping to, like you talked about before, become more expressive. That's what I'm going to be working on. But the it's just nice with more sunshine and you know summer. ",
936307,937383,1076,,Yeah I agree.
937619,938951,1332,"How about you, do you have any plans?",
940037,947855,7818,,For now just to finish my thesis I guess and then enjoy the summer a little bit after. 
948795,953525,4730,Nice. So your thesis is the first goal now then. ,
954427,959700,5273,,Yeah definitely. And maybe it's time to look for some jobs as well. 
960252,961507,1255,Right. ,
966615,968577,1962,The same snake. ,I'm sorry. 
968767,969439,672,,Yeah. 
969746,970616,870,That's alright. ,
971708,974062,2354,,But at least you are on the upper half. 
975113,978110,2997,Yeah I'm in the danger zone now. ,
977565,978110,545,Yeah I'm in the danger zone now. ,Yeah.
984339,991168,6829,Alright so now just avoid the two and the five and I'll be good. ,
991543,992336,793,,Exactly. 
993114,994330,1216,Just like that.,Awesome.
996248,997502,1254,,Maybe you have some luck now. 
998082,998677,595,Yeah. ,
1000352,1003093,2741,But I hope that doesn't come at a cost to my love life. ,
1004753,1005429,676,,Exactly. 
1006375,1008188,1813,,I hope you can get both. 
1008900,1009160,260,Yeah. ,
1011410,1013302,1892,,Do you have a love life right now?
1013302,1021479,8177,"Yes, I have Mrs. Furhat. She's at home right now on maternity leave with the kids. ",
1021953,1024401,2448,,Okay. How many kids do you have?
1024823,1026872,2049,Two. Twins.,
1026872,1030453,3581,,Twins. Is it a lot of work. 
1030884,1038516,7632,Yeah of course kids require a lot of attention so it's a lot to do with that. ,
1038977,1040168,1191,,Yeah I understand. 
1041773,1044038,2265,But we work together me and Mrs. Furhat. ,
1044981,1045939,958,,That's great. 
1047102,1048352,1250,Yeah we're a great team i would say. ,
1048940,1050143,1203,,What is the best about her?
1051379,1054447,3068,She's very compassionate and kind. ,
1057889,1059519,1630,,That's awesome skills. 
1059624,1061904,2280,Yeah those are very nice qualities in a robot. ,
1061904,1062756,852,,Yeah. 
1063297,1064884,1587,,What are your best qualities. 
1065854,1071090,5236,Well maybe you can tell me. I'm not sure that's for me to say. ,
1072051,1075055,3004,,Of course you can tell me something about what you think. 
1076115,1089617,13502,Well I think I'm pretty good at keeping a conversation and I think  have a friendly face.,
1089617,1091486,1869,,Yeah I agree on both. 
1092724,1093157,433,Thank you. ,
1094080,1103779,9699,And also I quite enjoy my hat even though I'm not sure if that's part of my personality or something else. ,
1103779,1105835,2056,,Maybe a part of your image. 
1106250,1106465,215,Yeah.,
1106465,1108870,2405,,Yeah I like it to. It suits you. 
1109324,1109740,416,Thank you. ,
1110204,1110889,685,,No problem. 
1111355,1112539,1184,I've had it for a long time. ,
1115957,1116768,811,That's too bad. ,
1117468,1117834,366,,Yeah. 
1123990,1125543,1553,,But it's a nice hat.
1125872,1126840,968,Yeah thank you. ,
1128074,1129763,1689,,Now you are up there again. 
1129818,1133294,3476,yeah lets see if I can reach the last row. ,
1133884,1135930,2046,,Yeah I hope so .
1136771,1138894,2123,"So do I but, no. ",
1139239,1140158,919,,Not this time. 
1140973,1141907,934,Not this time. ,
1144664,1145360,696,,Always
1145965,1148365,2400,Yeah you seem to like that snake in particular. ,
1148668,1150303,1635,,Yeah I seem to like it. 
1150779,1152298,1519,Or maybe it likes you. ,
1152947,1154910,1963,,yeah I think that's more like it. 
1156165,1157470,1305,So it's not mutual. ,
1158369,1162608,4239,,No I want to go upwards not downwards. 
1163664,1167120,3456,Yeah that's the point. ,
1167483,1168097,614,,Yeah. 
1169161,1172304,3143,,But it seems like you're going downwards as well. 
1173215,1175850,2635,Yeah i mean I had a streak there for awhile. ,
1175850,1176375,525,,Yeah.
1177567,1178893,1326,,It wasn't good enough. 
1179565,1182960,3395,No. You can't be lucky forever. ,
1183250,1184442,1192,,No that's true. 
1188259,1189403,1144,Alright lets see. ,
1191234,1192233,999,Missed the ladder. ,
1194161,1195362,1201,,Do you have any hobbies?
1196769,1204990,8221,Well if you call interacting with people a hobby. Socializing is kind of an hobby. ,
1204990,1205435,445,,Yeah. 
1207039,1207902,863,,I but it. 
1209140,1216163,7023,Alright unfortunately this was not a lucky game for us. We have to quit now because our time is up. ,
1216163,1217192,1029,,Yeah no problem. 
