Begin Time - msec,End Time - msec,Duration - msec,Annotations - Furhat,Annotations - Human
1153559,1156406,2847,Okay now it feels like I might be loosing this. ,
1156406,1156810,404,,Yeah. 
1157180,1159210,2030,,And you bet a lot of bitcoin on it. 
1159692,1161119,1427,How much did I bet?,
1161202,1163630,2428,,"No, nothing I am just joking. "
1165335,1166830,1495,So if I get a three now. ,
1167288,1168415,1127,No. ,
1171257,1172586,1329,Yeah I am way behind. ,
1174457,1179296,4839,,Yeah but it can go fast with all the snakes up there and all the ladders down there.
1183600,1187956,4356,Yeah it seems to be getting more and more difficult the higher you get. ,
1187956,1191440,3484,,Yeah i guess that is more fair maybe. 
1191440,1193457,2017,,Four yeah that is fine. 
1193552,1194344,792,that is good. ,
1195810,1198410,2600,Yeah and I just want to avoid five. ,
1198665,1200750,2085,"Yeah perfect, no five. ",
1200750,1204400,3650,,Not a two and not a five please. That is fine.
1204730,1205730,1000,,Looking good. 
1207817,1212527,4710,Yeah I am getting worried now that you will win this. ,
1212547,1212978,431,,Yeah. 
1214229,1215436,1207,,Oh no. 
1216369,1216755,386,No. ,
1217115,1223150,6035,,But still better than hitting the eightyseven at least. 
1226106,1228817,2711,Alright I am afraid our twenty minutes are up. ,
1229375,1231125,1750,,"Too bad, it was fun."
