Begin Time - msec,End Time - msec,Duration - msec,Annotations - Furhat,Annotations - Human
858285,858807,522,Rematch yeah. ,
858825,859329,504,,Rematch. 
859337,859898,561,One one. ,
859898,860459,561,,My move. 
862634,863676,1042,One all. ,
866150,868133,1983,This is for all the marbles. ,
868537,869750,1213,,All the bitcoins maybe. 
869750,871171,1421,All the bitcoin yeah.,
876403,877485,1082,,Okay.
879341,883187,3846,Seems like you saved you luck for this game. ,
883187,884702,1515,,A very easy game so far. 
884975,886718,1743,Wow. ,Very easy. 
888078,890128,2050,You're running and I'm walking. ,
890541,892520,1979,I'm not even trying my best you know. ,
892957,894259,1302,Alright. ,
899642,900377,735,Yeah. ,
901749,903293,1544,Happens to the best of us. ,
903763,905286,1523,,So it seems. 
908189,909710,1521,"Come on, no. ",
913629,914406,777,,Okay doing good. 
917379,918901,1522,Yeah you are doing good now. ,
920120,922671,2551,,And no. 
923633,925588,1955,Still far ahead though. ,
926014,929020,3006,,That's a fine snake. I like that snake. 
931510,932537,1027,,Game is on. 
932850,933431,581,Yeah.,
936423,940022,3599,Has to be an exciting game for the final game of course.,
946725,950750,4025,"Perfect, right where I want to be. ",
951035,952376,1341,,Is that the third time?
952558,954105,1547,,I think that's the third time. 
954972,960712,5740,It seems like you are stuck in a loop. Maybe there's a glitch in the matrix. ,
960813,962364,1551,,Maybe the game is rigged. 
963015,966660,3645,Well I wouldn't go as far as to say that. ,
967230,968552,1322,,Are you sure?
972349,975181,2832,"You know, chance. ",
974935,976460,1525,,"One more time, lets go."
977902,978888,986,Oh my god.,
981203,984219,3016,Are you controlling the dice? Are you doing this on purpose?,
984283,986807,2524,,I'm a professional dice thrower. 
987615,988804,1189,You said so.,
990674,991606,932,,And another one.
995475,999613,4138,Perhaps this is the time that you pass fourtyone.,
1002344,1005090,2746,,There we go. Impressive. 
1012140,1013389,1249,And a one. ,
1017400,1018511,1111,,That's a rough one.
1018952,1020053,1101,Yeah.,
1023380,1024770,1390,At least it's fair. ,Back at the start. 
1024802,1025932,1130,,Oh my god. 
1026995,1028453,1458,Oh my god. ,
1029297,1029974,677,,I'll take it. 
1031423,1035022,3599,Yeah you just keep rolling the same as I'm rolling. ,
1039291,1041049,1758,Finally pulling ahead. ,
1042720,1043594,874,,Ohh. 
1050162,1051984,1822,"Nice, six. ",
1052370,1052939,569,,Two. 
1054143,1056484,2341,Do you want the snake?,
1056599,1060650,4051,,I kind of like that snake. We've been hanging out a lot. 
1060778,1061369,591,,Oh look at that. 
1062598,1063945,1347,I kind of like that snake. ,You like that snake. 
1064065,1065109,1044,Yeah. ,
1066420,1069836,3416,It's the longest snake. I like long snakes. ,
1079723,1081122,1399,Oh wow. ,
1082070,1082720,650,,That's a rough one. 
1083580,1088810,5230,Yeah square one. It's not where I want to be. ,
1094928,1096917,1989,Again. ,
1104224,1106307,2083,,Big number. 
1106334,1110176,3842,Yeah and you're skipping over the snakes. ,
1113618,1114565,947,Well played. ,
1115546,1116888,1342,,Thank you sir. 
1120064,1124230,4166,,Okay we're getting somewhere. 
1130406,1132763,2357,Lets see it's my turn. ,
1140086,1141747,1661,,Nice one. Good job. 
1142852,1144412,1560,Yes thank you. ,
1146852,1148993,2141,Lets see if I can keep it up. ,
1154384,1155260,876,,Unlucky. 
1155710,1156452,742,Yes.,
1158344,1162198,3854,Would you say that you are a lucky person? ,
1162429,1163008,579,,No. 
1164616,1165234,618,Okay.,
1166842,1170698,3856,,We can ask snake number fortyone about it. 
1171877,1173380,1503,He knows the story?,
1173380,1174713,1333,,He knows all about it. 
1178420,1182243,3823,Yeah fortyone and fiftyone perhaps.,
1182356,1183393,1037,,Fiftyone is also. 
1185039,1187298,2259,,That one as well maybe. 
1189206,1191320,2114,Yeah the snakes are hungry today.,
1191458,1192096,638,,For sure. 
1203533,1208054,4521,Alright I'm afraid we are not going to be able to decide who the winner is. ,
1208223,1209294,1071,,Looks like I'm winning. 
1209469,1211472,2003,Fair enough. ,
