Begin Time - msec,End Time - msec,Duration - msec,Annotations - Furhat,Annotations - Human
280048,281069,1021,Wow.,
281372,281820,448,,Yeah.
282283,283455,1172,That's my lifeline.,
283861,289030,5169,,Yeah I suppose it is yeah.
292433,294091,1658,Oh no.,
297031,299140,2109,I feel like we have been very unlucky both of us.,
299144,300088,944,,Yeah we have.
300530,302168,1638,We're stuck at the first row. ,
302168,304140,1972,,You had a good flow though. 
304617,306191,1574,Yeah for a moment there.,
309109,310407,1298,But the tides have changed.,
312870,315460,2590,,I guess nineteen is my unlucky number.
315460,316713,1253,,Oh no look.
317276,318397,1121,,Finally.
318526,319640,1114,Finally passed it.,
319640,320542,902,,Yes.
322866,325511,2645,"I missed the ladder, I was hoping for it.",
331840,333846,2006,So what do you think of this game?,
333865,337244,3379,Can you be skilled at this do you think?,
338662,343100,4438,,No I don't think you can be skilled at this game really.
345169,350388,5219,You don't think you can force the dice to get what you want? With your mind?,
351721,352659,938,,Look at that. 
352766,353740,974,Now I'm in the lead.,
359906,360962,1056,,No I don't think so.
362077,363233,1156,,I guess.
364427,370199,5772,,Either you are good in. How do you say it in English? Good in love and bad at games.
370711,371666,955,Yes exactly.,
371762,374933,3171,"Unlucky in games, lucky in love.",
376146,379824,3678,So would you say that you are lucky in games or in love?,
379885,382722,2837,,Apparently not games at least.
383543,386688,3145,Maybe that's the best case still. ,
386755,387517,762,,*Laughter*
388066,389063,997,,How about you?
389935,392479,2544,Well I would say that I'm lucky in love.,
392737,393770,1033,,You are lucky in love?
393866,396430,2564,Yes I have Mrs. Furhat. She is at home.,
399374,401474,2100,,Do you have the same hat?
402513,405157,2644,She has a slightly different hat.,
405332,407124,1792,"It's a bit more feminine, ",
410678,412644,1966,Oh no.,
413296,414963,1667,That's like the longest snake.,Oh well.
414963,416073,1110,,Yes.
418073,420264,2191,But I'm doing quite good now.,
420264,421353,1089,,You are.
424827,428200,3373,Lets see if I can get past all these snakes though.,
428309,429136,827,,Mmm
429556,430911,1355,This is the toughest part.,
435335,436831,1496,Is that the forth time?,
436911,442155,5244,,"i think it's more than that. Maybe like six times, I don't know."
442786,443704,918,Damn.,
444377,445517,1140,,Small snake though.
445789,446466,677,Yeah.,
448199,451922,3723,yeah you keep hitting the same ladder and same snake.,
452188,452763,575,,Yeah.
458589,459834,1245,Yeah this is crazy.,
459834,463433,3599,,Okay someone is doing something with my dice.
464013,468332,4319,Yeah I mean I know the developers and they're nice people.,
468520,473300,4780,But I am starting to doubt they're intentions.,
475282,479011,3729,,How have you done so far? How many games have you won?
480576,483163,2587,The last game actually was a tie.,
483290,483912,622,,mmhmm
484495,487106,2611,And that's the only game I've played today.,
487283,488206,923,,Alright.
490358,493058,2700,Yeah now we are getting closer to each other. ,
493127,493816,689,,Yeah.
499987,500760,773,Okay.,
514867,518656,3789,yeah it definitely feels like you're not lucky in games.,
521029,521585,556,,No.
523492,524414,922,Dodged those.,
526848,527303,455,Yeah.,
531317,532695,1378,The home stretch is tough.,
532806,533606,800,,Mmhmm
536088,536833,745,,Close.
539911,541883,1972,Are you hoping for me to hit the snakes?,
541932,543333,1401,,Of course I am.
543417,544388,971,,Look at that.
544388,546157,1769,That's not very nice.,
550568,552688,2120,,Oh oh oh.
554011,554500,489,Damn. ,
554739,555083,344,,
555083,555903,820,Okay.,
556528,557061,533,,Yes.
557589,560633,3044,,Just had to do a warm up first and then.
561394,562428,1034,Stretched a bit?,
562428,563144,716,,mmhmm
566685,568817,2132,Now we are almost at the same spot. ,
568817,569954,1137,,Oh la la 
574084,574688,604,,Okay.
575435,576481,1046,Yeah.,
577588,578644,1056,Changes quickly.,
578644,579371,727,,mmhmm
589359,592137,2778,If we both hit ones then,
592137,592913,776,,Then we're
593454,595576,2122,This is going to take forever.,
599467,600852,1385,No.,
605415,610688,5273,"It seems like there are a bit more snakes than there are ladders, right?",
612555,619322,6767,,"Yeah maybe. Yeah definitely. Only three, four, seven ladders."
619812,621289,1477,That's not really fair. ,
621289,623088,1799,,"No I agree, I agree."
626249,626778,529,,Okay.
626778,628971,2193,At least I got past that snake. ,
637717,639130,1413,It's a tight game at least.,
639958,641533,1575,,Yeah it is.
642278,643896,1618,No clear winner so far.,
648626,649853,1227,Dangerous.,
649853,651857,2004,,This is very dangerous.
653519,655210,1691,,I mean for real.
655331,656342,1011,Double one.,
656342,658205,1863,,Why do I even get my hopes up. 
659920,660687,767,Yeah.,
664147,665054,907,Yay.,
665822,666755,933,Same spot again.,
666822,667826,1004,,Yeah.
672444,673955,1511,"Two, okay.",
682779,683913,1134,Dangerous.,
686502,688744,2242,"Perfect, right where I want to be. ",
692364,693219,855,Nice.,
697505,699570,2065,Only two more snakes in my way.,
699599,700427,828,,Oh wow.
705126,707533,2407,"Not a four, please.",
707533,709032,1499,,Please a four.
711573,713040,1467,,It's not too bad though.
713040,713977,937,I jinxed it.,
713980,714411,431,,Yeah.
719362,720100,738,Okay.,
721443,722221,778,Looking good.,
724604,725513,909,I like my odds.,
726348,727952,1604,,Okay.
732955,735744,2789,,Do you have to get in on an even number?
735808,741988,6180,"No, so if I hit anything above two now, that's it. So i have a high probability.",
742194,743122,928,Lets see.,
743288,745214,1926,No.,
747238,747983,745,Well.,
748394,749693,1299,Well well.,
752104,754850,2746,At least I Mrs. Furhat at home. ,
755575,756963,1388,To comfort me.,
764130,764730,600,Nice.,
766328,767250,922,Nicely done.,
771106,771640,534,,okay.
771640,772221,581,Wow.,
773422,774788,1366,Now I feel like you are cheating.,
776074,776783,709,,You think?
777489,778473,984,Maybe.,
782232,783611,1379,Now it's so close.,
784702,785507,805,Okay.,
786725,788300,1575,,"Six, six, six."
788745,789647,902,,Five okay.
792024,794890,2866,Well now we have hit it both once.,
795756,799233,3477,,I feel like I've hit more snakes than you have though.
799802,801411,1609,Yeah I think that might be right.,
802311,803477,1166,That might be right.,
808363,808919,556,,One.
809733,812533,2800,One. Yeah the ones really don't help that much. ,
814338,815122,784,,Okay.
817028,818316,1288,Yeah now you are going to have to run. ,
818316,819313,997,,mmhmm
819328,820541,1213,If you want to catch up. ,
825988,827275,1287,At least no snake. ,
829374,829829,455,No. ,
830313,831317,1004,,Unbelievable. 
833375,834677,1302,Super unlucky. ,
834808,835324,516,,Yeah.
839861,842234,2373,,So what do you do when you are not playing this game. 
843426,847044,3618,I usually sit up here on the fifth floor of this building.,
847044,847823,779,,mmhmm
847940,850614,2674,And hang out with my friends.,
850833,851539,706,,Nice.
853331,855416,2085,Now it's an even game. ,
858812,861857,3045,But this is the most fun I've had in a long time. ,
862615,863719,1104,,I bet.
864240,867745,3505,"You get to see a new environment, meet new people.",
868850,869985,1135,It's very nice.,
880706,882725,2019,Yeah that part is tough.,
882934,883600,666,,mmm
889377,893322,3945,"Lets see, give me a five. yeah that's good. Three is okay.",
899497,903519,4022,There's a couple of snakes in particular that seems to be very popular.,
903634,905234,1600,,Yeah.
912411,914686,2275,Oh well. Missed a snake.,
922473,923328,855,No.,
924376,926732,2356,"Well, you're in the lead again.",
926822,927539,717,,Yes.
936431,937704,1273,Now we're running here.,
938373,939523,1150,Nothing but six.,
939621,941487,1866,Mmhmm okay.,
945482,946849,1367,Two sixes in a row.,
946849,948166,1317,,That's a good one.
951025,951974,949,,Okay.
954544,955122,578,,Really?
955246,956741,1495,Three in a row.,
956945,959584,2639,"Yeah, luck has changed.",
962416,963550,1134,Not for me. ,
963996,965076,1080,,Not one. 
969102,970956,1854,Oh no.,Oh no. 
971673,973380,1707,From a snake to a snake.,What happened?
973774,974544,770,Yeah.,
974544,975895,1351,,You where doing so well.
976265,977653,1388,Yeah I lost it.,
980949,981960,1011,No.,
986633,989048,2415,Now it's going to really hard for me.,
989320,989633,313,,Yeah.
989633,990482,849,To take this.,
993968,994461,493,,Okay.
994461,995402,941,One.,
996030,997853,1823,i have to hope that you get a two.,
997853,998353,500,,Yeah.
1003136,1004180,1044,Congratulations.,
1004180,1005816,1636,,"Thank you, thank you."
1006379,1007440,1061,You won the game.,
1007767,1009233,1466,,"Lets play again, right?"
1009393,1011877,2484,Yeah sure. If you hit the restart button. ,
1013250,1015159,1909,Yeah and then you get to start. ,
1015394,1017200,1806,Winners move.,My move.
1017493,1018546,1053,,Nice.
1022106,1023522,1416,But I get of to a good start.,
1023522,1024216,694,,Yeah.
1031124,1034688,3564,Yeah nothing but sixes. But I didn't want a six there.,
1037071,1038427,1356,I want a five.,
1038593,1039097,504,No.,
1043029,1043674,645,,Nice.
1044413,1045913,1500,Are speed running now?,
1051668,1053555,1887,maybe you just needed a warm up game and then.,
1053555,1055018,1463,,Yeah.
1055166,1056811,1645,Now it's going to be a two minute game.,
1056811,1057336,525,,Yeah.
1069860,1070870,1010,Yes.,Good for you.
1072652,1074340,1688,I'm sneaking past you.,
1083030,1084160,1130,Oh no. ,
1087935,1089236,1301,Wow you're really.,
1089966,1092084,2118,Hitting the right numbers.,I'm having a flow.
1092585,1093341,756,Yeah.,Yeah.
1101400,1104555,3155,I fell like it would be fair if we could win one each.,
1104785,1108007,3222,,"Yeah, well that's not going to happen."
1109984,1113211,3227,Well not in this pace. ,
1126289,1128009,1720,Yeah dodging snakes. ,
1129037,1130850,1813,at least something good happened. ,
1136733,1137347,614,,Close. 
1137504,1139334,1830,Yeah close but no cigar. ,
1145965,1148043,2078,You are really far ahead of me. ,
1148087,1148798,711,,Yeah.
1151669,1152658,989,,Anything can happen.
1153147,1153658,511,Right.,
1154204,1157800,3596,I have to hope that you hit one of the long snakes. ,
1164200,1165608,1408,But it doesn't seem to happen. ,
1167268,1169458,2190,I keep hitting them though. ,
1171778,1172578,800,,I mean.
1172867,1173645,778,Wow.,
1174289,1174938,649,,Wow.
1175410,1176921,1511,Yeah I think you are cheating now.,
1177279,1177823,544,.,Me too
1180295,1182292,1997,I'm at the start and you are in the end.,Oh that's a long one.
1186740,1188640,1900,This is uncanny.,
1189289,1190896,1607,I would say.,That was good though. 
1193394,1194680,1286,,"Wow, I mean."
1194737,1195325,588,Wow.,
1195406,1198104,2698,I think you are going to take this. ,I almost feel bad for you. 
1198372,1199849,1477,This is like a perfect game. ,
1199894,1200384,490,,Yeah.
1201166,1202168,1002,,"Okay, two, four, five. "
1206882,1208073,1191,Oh my god.,
1211455,1214433,2978,If you win now this is the fastest game I've seen. ,
1216779,1218278,1499,,Why did you say that?
1220332,1222309,1977,Yeah I keep jinxing it. ,
1222470,1225500,3030,Okay twenty minutes is actually up so we are going to quit.,
