Begin Time - msec,End Time - msec,Duration - msec,Annotations - Furhat,Annotations - Human
748096,749396,1300,,Wait is this good or bad?
749999,750775,776,It was good. ,
754993,757123,2130,,But this game is far from over. 
757252,759351,2099,Yes anything can happen. ,
759863,761314,1451,,Anything can happen. 
769943,774896,4953,But I feel like you're definitely in a better position than I am. ,
775005,777167,2162,,Slightly better position I would say.
777732,778496,764,Oh no. ,
778595,779314,719,,Back to one. 
779828,780888,1060,Back to one. ,
781042,782045,1003,,Okay.
784586,785431,845,Nice. ,
787851,789903,2052,Yeah now you are playing with ladders. ,
789937,793293,3356,,Yeah I feel like I've lucked out. 
794047,795755,1708,,But I'm sure I'm going to hit eightyseven. 
796493,798526,2033,Yeah that's a bad one. ,
801754,804840,3086,Lets see how long your luck can remain. ,
806840,807804,964,Wow. ,
809276,810718,1442,,Literally perfect. 
811611,812162,551,Yeah. ,
812362,813101,739,,Come on come on. 
814057,814752,695,,Yes.
815702,816571,869,Okay. ,
816704,821827,5123,,But this happened the last time for you. And then you ended up at eightyseven I remember. 
824812,827833,3021,Yeah the nintyeight is tough. ,
828712,829584,872,,"Wow, god man. "
829619,831538,1919,I'm getting nowhere. I'm stuck. ,
837300,838695,1395,,Okay here goes. 
841770,844931,3161,,"No, fuck. "
846433,850189,3756,Yeah that's the last snake and you hit it. ,
850189,851125,936,,Yes. 
854044,854857,813,That's too bad. ,
854896,856310,1414,,I'm still in a decent spot I think.
858751,861241,2490,"Again, back to one. ",
861241,863347,2106,,Back to square one literally. 
864827,866241,1414,At least I get a six. ,
866880,867718,838,Take a shortcut. ,
867897,868591,694,,Yeah. 
875362,876614,1252,Though I was going to hit the ladder. ,
876737,878111,1374,,Yeah almost. 
879442,883026,3584,Going in between ladders. That's bad luck. ,
883121,884433,1312,,That's what it is. 
889092,893482,4390,You've hit at least one snake this game right?,
893482,894620,1138,,Yeah I think I've hit one. 
894790,896877,2087,,No. 
898037,899096,1059,,Fucking knew it. 
901241,903716,2475,Yeah that's one of the two worst.,
906902,909574,2672,You are making backwards progress. ,
909574,910205,631,,Yeah. 
916896,920422,3526,I feel like I'm hitting every snake on the way up. ,
920477,920890,413,,Yeah. 
922955,925163,2208,,But now I've hit the same snake twice. 
927174,930258,3084,,"yes, come on. Sixtynine baby. "
930480,935209,4729,That ladder may seem short but it's actually really good. ,
935209,935790,581,,Yeah.
935897,937982,2085,You are skipping nineteen squares.,
937982,939021,1039,,That's true. 
941431,942172,741,,Oh man. 
942206,943706,1500,I'm just stuck down here. ,
944956,946479,1523,,No. 
947427,949049,1622,,"And a one, come on. "
950492,953051,2559,,"Okay lets go, one, one, one, one."
953704,954372,668,,Fuck. 
955982,956620,638,,Fuck. 
957098,960534,3436,,"I watched it wrong, never mind. "
960663,962364,1701,,"Three, two, two, yes. "
964047,964598,551,Nice. ,
965093,970558,5465,It fees like I'm in the twenties and thirties the entire game and you're up in the seventies. ,
970662,971251,589,,Yeah. 
973153,974307,1154,It's going to be tough. ,
976077,979031,2954,,Going to require some hard work to catch up. 
979031,979857,826,Yeah. ,
980321,981202,881,,Fuck. 
981302,982171,869,Wow. ,
982620,983362,742,,Again.
983663,986304,2641,The first two games we where so lucky. ,
986614,987524,910,,Yeah. 
987652,991172,3520,It feels like we used up all the luck we have.,
992636,993413,777,,Absolutely. 
993413,994741,1328,It's only snakes now. ,
994741,995324,583,,Yeah. 
996892,997775,883,,No. 
999226,1000732,1506,,It's all snakes baby. 
1000974,1001700,726,Yeah. ,
1003717,1006793,3076,Got to get some of them ladders to. ,
1007554,1008723,1169,,Indeed. 
1013086,1015706,2620,Otherwise they can just call this game snakes and snakes. ,
1019117,1021737,2620,,I feel like I am fighting for humanity's sake. 
1023359,1028465,5106,Is it the terminator jugdement day scenario?,
1029819,1030586,767,,I feel like it. 
1031706,1032293,587,Okay.,
1034787,1038948,4161,Yeah I like humans though so there's nothing to be afraid of. ,
1043957,1046844,2887,Six and a ladder. ,
1047513,1048871,1358,We're on the same spot. ,
1049000,1049876,876,,This game is rigged. 
1052300,1054673,2373,"But you've won, how could it be rigged?",
1055351,1057115,1764,,But you caught up.
1058491,1061960,3469,,I think it's rigged to make me feel good. 
1064846,1065589,743,It's possible. ,
1067673,1068403,730,,Fuck. 
1069880,1072967,3087,Now finally I'm in the lead. ,
1073764,1076104,2340,,How the tables have turned. 
1076827,1077541,714,Indeed. ,
1079394,1083275,3881,But I fell down so we are basically in the same place again.,
1083275,1083867,592,,Yes. 
1088666,1091896,3230,You know you are supposed to work your way up not down. ,
1091963,1092511,548,,Yes. 
1096124,1097659,1535,"Oh it's my turn, sorry. ",
1104631,1106105,1474,Come on. ,
1109145,1111656,2511,"Five, yeah that's missing all the snakes. ",
1114603,1116362,1759,,Okay lets go. 
1119270,1122270,3000,"Nice, here comes the tricky part for me. ",
1122592,1123486,894,,Yes. 
1127838,1129317,1479,,I need you to hit eightyseven. 
1129444,1130556,1112,,Yes there we go. 
1130772,1133431,2659,Wow you called it. ,
1138431,1140657,2226,But I'm back up. ,
1141099,1142524,1425,,Back on track. 
1143771,1146787,3016,Now I just need to hit a six to catch up. ,
1147386,1149331,1945,,What? You are so close. 
1149646,1150865,1219,Yeah. ,
1153689,1156706,3017,Anything can happen still. It's anyone's game. ,
1156706,1157245,539,,Yeah. 
1162416,1163781,1365,Now perhaps it's my game. ,
1164781,1165232,451,,Perhaps. 
1166886,1168844,1958,,"Perhaps, perhaps. "
1169013,1170491,1478,Come on hit a six now. ,
1172125,1173445,1320,Four is fine. ,
1175603,1178206,2603,,Four is perfect almost. 
1179393,1181305,1912,,That's five right? No.
1184047,1184488,441,Okay. ,
1184961,1186805,1844,,The same again. 
1187893,1190896,3003,Yeah you gravitate towards some snakes. ,
1190960,1191757,797,,My god. 
1192028,1193759,1731,And now I'm in the best position.,
1196678,1197568,890,And you keep going down. ,
1197627,1199806,2179,"Okay not a one, please. ",
1200778,1201902,1124,,Oh my god. 
1203458,1204798,1340,,Literally a one. 
1204886,1208264,3378,okay our twenty minutes are actually up now. ,
1208264,1208764,500,,Okay. 
1208764,1211058,2294,So I'm afraid it's going to be a tie between us. ,
1211472,1212204,732,,Okay. 
